2015031010000597두4287	588	452	849	585
20150310100022경북15바1925	4	493	338	590
2015031010002729도3958	326	380	559	518
20150310100037경북15바2331	337	335	670	446
2015031010004132구1682	516	415	885	510
2015031010004966부9792	474	346	828	445
2015031010010021거7106	621	571	871	717
2015031010010626부3583	306	416	658	520
20150310100107경북15바1374	300	300	630	418
2015031010012631다7442	640	300	841	427
20150310100132경북15바1835	400	288	721	406
20150310100138경북11바8678	100	341	442	458
20150310100144경북15바1110	416	275	734	394
2015031010015060러3956	436	332	786	442
2015031010015641어7667	366	320	700	409
2015031010020615마6503	523	335	857	437
2015031010023802러8538	119	342	331	462
2015031010024496거8359	112	171	259	258
2015031010025196구8036	655	166	1027	264
2015031010025423다3068	537	484	925	593
2015031010032661수8770	451	253	732	340
2015031010032667소2193	77	332	394	421
20150310100336경북15바2331	85	541	411	636
2015031010034631부9603	190	362	503	457
20150310100400경북11바8678	18	529	380	636
2015031010041761수8149	224	492	606	609
20150310100418경북11바8203	480	324	820	425
2015031010043902더5519	460	543	704	681
2015031010043997어3378	77	422	422	504
20150310100445서울82바7317	449	264	780	367
20150310100457경북15바1835	88	502	420	600
2015031010050302더5519	868	598	1140	726
2015031010050402루9156	642	307	984	412
2015031010050952버8739	683	308	1040	412
2015031010051069허4544	549	313	898	422
2015031010051638머1989	525	308	862	415
2015031010052242로1269	649	353	991	467
2015031010052755허7180	388	416	742	518
2015031010053948루9664	665	321	1012	431
2015031010055866저7556	527	347	875	458
20150310100610경북14고7288	322	12	700	216
20150310100619경북15바1112	478	330	832	446
20150310100624경북11바8203	2	548	336	642
2015031010062714고6954	420	446	793	584
2015031010064778조6592	607	271	944	380
2015031010065365마9797	191	417	584	551
20150310100706경북41모1339	744	257	982	387
20150310100708경북15바1374	1	551	333	660
2015031010071966저7556	179	511	538	610
2015031010072654어7522	166	396	370	508
2015031010072802루9156	346	507	736	614
2015031010073431다7442	55	490	275	631
2015031010075379라7809	476	522	861	621
2015031010075411가7623	212	351	539	440
2015031010075992로9708	591	277	970	391
2015031010080336누5316	477	341	823	440
20150310100806경북15바1536	531	292	867	397
